number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
2373,Add multiple embedding providers for SemanticSimilarity,https://github.com/Giskard-AI/giskard-oss/issues/2373,OPEN,2026-04-08,False,True,,,,
2372,Add retry/majority-voting for LLM-based checks,https://github.com/Giskard-AI/giskard-oss/issues/2372,OPEN,2026-04-08,True,True,,,,
2360,Runtime governance complement — delegation enforcement that catches what testing misses,https://github.com/Giskard-AI/giskard-oss/issues/2360,CLOSED,2026-04-07,False,True,,,,
2307,Feature: Longitudinal scan comparison — detecting behavioral drift between evaluation runs,https://github.com/Giskard-AI/giskard-oss/issues/2307,CLOSED,2026-03-13,False,True,,,,
2217,RAGAS integration fails with ragas>=0.3.3 due to missing is_finished method and removed .score() API,https://github.com/Giskard-AI/giskard-oss/issues/2217,CLOSED,2025-11-15,False,True,,,,
2213,Scanner fails with KeyError when detectors use inconsistent column names,https://github.com/Giskard-AI/giskard-oss/issues/2213,CLOSED,2025-10-21,False,True,,,,
2185,Segmentation Fault,https://github.com/Giskard-AI/giskard-oss/issues/2185,CLOSED,2025-07-21,False,True,,,,
2141,"No retry on failed generations, which leads to errors. For example, key-getters on generated questions and answers, are not always present.",https://github.com/Giskard-AI/giskard-oss/issues/2141,CLOSED,2025-04-07,True,False,,,,
2095,'charmap' codec can't encode character '\U0001f512' in position 1020: character maps to <undefined>,https://github.com/Giskard-AI/giskard-oss/issues/2095,CLOSED,2025-01-09,False,True,,,,
2089,Bug when calculating correctness_by_metadata mean,https://github.com/Giskard-AI/giskard-oss/issues/2089,CLOSED,2024-12-13,False,True,,,,
2078,infinite build times on hf private spaces using docker image,https://github.com/Giskard-AI/giskard-oss/issues/2078,CLOSED,2024-11-20,True,True,,,,
2050,Large knowledge base leads to context length exceeded error,https://github.com/Giskard-AI/giskard-oss/issues/2050,CLOSED,2024-10-22,True,True,,,,
2043,Allow user to specify N retries ,https://github.com/Giskard-AI/giskard-oss/issues/2043,CLOSED,2024-10-15,True,True,,,,
1248,[GSK-1440] Failed WebSocket connection after  and infinite retry,https://github.com/Giskard-AI/giskard-oss/issues/1248,CLOSED,2023-07-19,True,True,,,,
1214,[GSK-1384] Internal worker exception during model inspection,https://github.com/Giskard-AI/giskard-oss/issues/1214,CLOSED,2023-06-30,False,True,,,,
929,[GSK-956] test related issues (Altaroad),https://github.com/Giskard-AI/giskard-oss/issues/929,CLOSED,2023-04-12,False,True,,,,
871,[GSK-875] Update the credit scoring model CD with AI test v2,https://github.com/Giskard-AI/giskard-oss/issues/871,CLOSED,2023-03-14,True,True,,,,
867,[GSK-860] Propagating new upload API to giskard-examples,https://github.com/Giskard-AI/giskard-oss/issues/867,CLOSED,2023-03-07,False,True,,,,
862,[GSK-856] Giskard gallery,https://github.com/Giskard-AI/giskard-oss/issues/862,CLOSED,2023-03-03,False,True,,,,
845,[GSK-854] Disparate impact test doesn't work in case of numeric classification_labels,https://github.com/Giskard-AI/giskard-oss/issues/845,CLOSED,2023-02-28,False,True,,,,
839,[GSK-835] Add support for large datasets,https://github.com/Giskard-AI/giskard-oss/issues/839,CLOSED,2023-02-22,False,True,,,,
828,[GSK-826] Cannot load model with internal ML worker,https://github.com/Giskard-AI/giskard-oss/issues/828,CLOSED,2023-02-16,False,True,,,,
733,Investigate the possibility to use shap instead of Lime ,https://github.com/Giskard-AI/giskard-oss/issues/733,CLOSED,2023-02-10,False,True,,,,
711,Small datasets can't be viewed from UI,https://github.com/Giskard-AI/giskard-oss/issues/711,CLOSED,2023-02-02,False,True,,,,
691,"Issue with the old test API, test suite execution throws error if ref dataset not determined",https://github.com/Giskard-AI/giskard-oss/issues/691,CLOSED,2023-01-30,False,True,,,,
478,Improve Shapely explanation generation,https://github.com/Giskard-AI/giskard-oss/issues/478,CLOSED,2022-12-05,False,True,,,,
459,Problem with Automatic test due to dataset without target,https://github.com/Giskard-AI/giskard-oss/issues/459,CLOSED,2022-12-05,False,True,,,,
