number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
1276,"agent.ts — 429 retry path ignores Retry-After, coordinated amplification under shared provider contention",https://github.com/VoltAgent/voltagent/issues/1276,OPEN,2026-05-09,True,True,,,,
1233,"generateTitle silently fails with reasoning models (gpt-5-mini, o1, o3) due to hardcoded temperature: 0",https://github.com/VoltAgent/voltagent/issues/1233,CLOSED,2026-04-23,False,True,,,,
1226,"[DISCUSSION] Multi-agent coordination: What happens when your agents start ""talking behind your back""",https://github.com/VoltAgent/voltagent/issues/1226,OPEN,2026-04-23,False,True,,,,
1201,[FEAT] Expose request headers (or a headers map) in dynamic agent model / tools construction,https://github.com/VoltAgent/voltagent/issues/1201,CLOSED,2026-04-12,False,True,,,,
1195,[BUG] Tool calls do not work with google-vertex thinking models due to a zod schema mismatch,https://github.com/VoltAgent/voltagent/issues/1195,CLOSED,2026-04-08,True,False,,,,
1194,[FEAT] Add tool suspend/resume functionality similar to Mastra,https://github.com/VoltAgent/voltagent/issues/1194,OPEN,2026-04-08,True,False,,,,
1188,AIGEN Protocol — earn $AIGEN with VoltAgent,https://github.com/VoltAgent/voltagent/issues/1188,CLOSED,2026-04-05,False,True,,,,
1166,[FEAT] Add deterministic pre-action authorization at the tool-call hook level,https://github.com/VoltAgent/voltagent/issues/1166,OPEN,2026-03-20,False,True,,,,
1140,[BUG] Sandbox tool: Redundant token usage due to repeated content in stdout and summary,https://github.com/VoltAgent/voltagent/issues/1140,CLOSED,2026-03-06,True,True,,,,
1091,AgentCompiler Partnership Inquiry - Agent Optimization Integration,https://github.com/VoltAgent/voltagent/issues/1091,CLOSED,2026-02-20,False,True,,,,
1001,[DOC] Add accurate and full information on how to handle streaming with models using the agent,https://github.com/VoltAgent/voltagent/issues/1001,CLOSED,2026-01-29,False,True,,,,
994,[BUG] Console shows infinite loading spinner when using server-elysia,https://github.com/VoltAgent/voltagent/issues/994,CLOSED,2026-01-27,True,False,,,,
969,[Feature Request] Layered/Meta Tool Routing to Reduce Agent Context Token Usage,https://github.com/VoltAgent/voltagent/issues/969,CLOSED,2026-01-20,True,False,,,,
721,[FEAT] Exceeding max steps should handle more gracefully,https://github.com/VoltAgent/voltagent/issues/721,CLOSED,2025-10-23,False,True,,,,
655,"[FEAT] implement rate limit and backoff strategy for AI agents with different architecture patterns (superviosr pattern, hierarchical pattern etc. )",https://github.com/VoltAgent/voltagent/issues/655,OPEN,2025-10-06,True,True,,,,
652,Cannot connect to http://localhost:3141,https://github.com/VoltAgent/voltagent/issues/652,CLOSED,2025-10-04,False,True,,,,
635,Return artifact in tool,https://github.com/VoltAgent/voltagent/issues/635,CLOSED,2025-09-28,False,True,,,,
471,[BUG] STREAM_ERROR when using gpt-5,https://github.com/VoltAgent/voltagent/issues/471,CLOSED,2025-08-07,False,True,,,,
450,[BUG] options.maxSteps is not using in gemini,https://github.com/VoltAgent/voltagent/issues/450,CLOSED,2025-08-01,False,True,,,,
414,[BUG] Websocket error persistent,https://github.com/VoltAgent/voltagent/issues/414,CLOSED,2025-07-24,False,True,,,,
387,[FEAT] Support Claude CLI as a provider,https://github.com/VoltAgent/voltagent/issues/387,CLOSED,2025-07-12,False,True,,,,
349,[BUG] tool calling exceptions behavior prevents useful retries,https://github.com/VoltAgent/voltagent/issues/349,CLOSED,2025-07-05,True,False,,,,
297,[FEAT] Accept Headers in MCPServerConfig when type is HTTP,https://github.com/VoltAgent/voltagent/issues/297,CLOSED,2025-06-24,False,True,,,,
138,Thinking Mode (Gemini 2.5 Flash),https://github.com/VoltAgent/voltagent/issues/138,CLOSED,2025-05-20,True,True,,,,
119,[BUG] VoltAgent Streaming Delay,https://github.com/VoltAgent/voltagent/issues/119,CLOSED,2025-05-13,False,True,,,,
104,[FEAT] Integrate with Polar LLM Ingestion Billing,https://github.com/VoltAgent/voltagent/issues/104,OPEN,2025-05-08,True,True,,,,
15,Ollama Provider Integration,https://github.com/VoltAgent/voltagent/issues/15,CLOSED,2025-04-20,False,True,,,,
5,Rate Limiting,https://github.com/VoltAgent/voltagent/issues/5,OPEN,2025-04-20,True,True,,,,
