project,total_issues_pulled,n_candidates,screen_pct
Forethought-Technologies/AutoChain,12,0,0.0
Giskard-AI/giskard-oss,500,27,5.4
HKUDS/AutoAgent,66,4,6.1
OpenBMB/XAgent,315,37,11.7
TransformerOptimus/SuperAGI,460,56,12.2
VoltAgent/voltagent,260,28,10.8
botpress/botpress,103,5,4.9
darrenhinde/OpenAgentsControl,112,11,9.8
eylonmiz/react-agent,11,3,27.3
gmpetrov/databerry,217,13,6.0
go-kratos/blades,30,4,13.3
heurist-network/heurist-agent-framework,18,6,33.3
melih-unsal/DemoGPT,16,0,0.0
openonion/connectonion,92,24,26.1
pydantic/pydantic-ai,500,101,20.2
stacklok/codegate,447,33,7.4
trypromptly/LLMStack,61,2,3.3
vocodedev/vocode-core,185,13,7.0
wanxingai/LightAgent,23,3,13.0
yomorun/yomo,76,3,3.9
