number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
123,Browser profile management: use browser-use style profile handling,https://github.com/openonion/connectonion/issues/123,OPEN,2026-03-23,False,True,,,,
109,Add on_stop_signal event,https://github.com/openonion/connectonion/issues/109,CLOSED,2026-03-06,False,True,,,,
108,Add on_context_limit event,https://github.com/openonion/connectonion/issues/108,OPEN,2026-03-06,False,True,,,,
106,Add on_max_iterations event,https://github.com/openonion/connectonion/issues/106,OPEN,2026-03-06,True,True,,,,
103,Add Ollama Support for Local Model Inference,https://github.com/openonion/connectonion/issues/103,OPEN,2026-03-04,False,True,,,,
83,GitHub Actions test failures and fixes,https://github.com/openonion/connectonion/issues/83,CLOSED,2026-02-14,False,True,,,,
74,LLM: Add OpenRouter support,https://github.com/openonion/connectonion/issues/74,CLOSED,2026-02-10,False,True,,,,
71,CLI: Add tip system - show helpful tips when running commands,https://github.com/openonion/connectonion/issues/71,OPEN,2026-02-08,False,True,,,,
70,Bug: Agent loop continues after user rejects tool execution,https://github.com/openonion/connectonion/issues/70,CLOSED,2026-02-06,True,True,,,,
68,Add auto compact plugin for context window management,https://github.com/openonion/connectonion/issues/68,OPEN,2026-02-06,True,True,,,,
65,CLI: Add transfer command for credit transfers,https://github.com/openonion/connectonion/issues/65,OPEN,2026-02-05,True,True,,,,
63,Refine thinking/reasoning UI in oo-chat,https://github.com/openonion/connectonion/issues/63,OPEN,2026-02-05,True,True,,,,
62,Add Stripe credit purchase for OpenOnion,https://github.com/openonion/connectonion/issues/62,OPEN,2026-02-05,True,True,,,,
61,Integration: Pinchwork — agent-to-agent task marketplace for cross-framework collaboration,https://github.com/openonion/connectonion/issues/61,OPEN,2026-02-01,False,True,,,,
53,Default to excluding function docstrings from tool schemas,https://github.com/openonion/connectonion/issues/53,CLOSED,2025-12-20,False,True,,,,
52,CLI output improvements - future enhancements,https://github.com/openonion/connectonion/issues/52,OPEN,2025-12-13,False,True,,,,
44,Session logging and eval system for agent development,https://github.com/openonion/connectonion/issues/44,CLOSED,2025-11-27,False,True,,,,
37,[BUG] API KEY problem,https://github.com/openonion/connectonion/issues/37,CLOSED,2025-11-04,False,True,,,,
31,RFC: Hook System Design - Community Feedback Wanted,https://github.com/openonion/connectonion/issues/31,CLOSED,2025-10-17,False,True,,,,
28,"[BUG] Choose Star for $1 OpenOnion credit (100k free tokens), then input ""y"" for question: Have you starred our repository? There is an issue",https://github.com/openonion/connectonion/issues/28,CLOSED,2025-10-06,True,True,,,,
23,Create comprehensive auto-debug documentation and guides,https://github.com/openonion/connectonion/issues/23,OPEN,2025-10-04,False,True,,,,
21,Implement retry command for re-executing tools with modified arguments,https://github.com/openonion/connectonion/issues/21,OPEN,2025-10-04,True,True,,,,
9,Unable to authenticate while using the email feature,https://github.com/openonion/connectonion/issues/9,CLOSED,2025-10-03,False,True,,,,
8,[FEATURE] Add google auth with cli generate URL,https://github.com/openonion/connectonion/issues/8,CLOSED,2025-10-03,False,True,,,,
