number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
5497,"Bedrock: count_tokens does not pass additionalModelRequestFields, breaking 1M context models",https://github.com/pydantic/pydantic-ai/issues/5497,OPEN,2026-05-17,True,True,,,,
5445,Unified thinking: audit-found gaps across providers,https://github.com/pydantic/pydantic-ai/issues/5445,OPEN,2026-05-14,True,True,,,,
5423,Support model armor config in Gemini,https://github.com/pydantic/pydantic-ai/issues/5423,OPEN,2026-05-13,False,True,,,,
5379,"thinking=False is silently dropped for several reasoning models (OpenRouter, xAI, Bedrock)",https://github.com/pydantic/pydantic-ai/issues/5379,OPEN,2026-05-12,True,True,,,,
5377,Support token counting for Anthropic Bedrock models,https://github.com/pydantic/pydantic-ai/issues/5377,OPEN,2026-05-11,True,True,,,,
5366,# Expose Gemini `tool_config.function_calling_config` (especially `VALIDATED` mode) in `GoogleModelSettings`,https://github.com/pydantic/pydantic-ai/issues/5366,OPEN,2026-05-11,False,True,,,,
5360,Cached input tokens ignored in cost accounting in pydantic-ai logfire,https://github.com/pydantic/pydantic-ai/issues/5360,CLOSED,2026-05-11,True,True,,,,
5329,xai: `ToolCallPart` following `ThinkingPart` goes onto a new assistant message instead of attaching to the reasoning one,https://github.com/pydantic/pydantic-ai/issues/5329,OPEN,2026-05-07,True,True,,,,
5304,Bedrock: add adaptive thinking support for Claude Sonnet 4.6 / Opus 4.6,https://github.com/pydantic/pydantic-ai/issues/5304,OPEN,2026-05-05,True,True,,,,
5302,Observability hook for Anthropic context compaction events,https://github.com/pydantic/pydantic-ai/issues/5302,CLOSED,2026-05-05,False,True,,,,
5285,feat: Support `reasoning_effort` for Mistral thinking models beyond `magistral*`,https://github.com/pydantic/pydantic-ai/issues/5285,OPEN,2026-05-03,True,True,,,,
5238,Output validator `ctx.last_attempt` can be inaccurate when `ToolOutput.max_retries` exceeds `output_retries`,https://github.com/pydantic/pydantic-ai/issues/5238,OPEN,2026-04-28,True,True,,,,
5217,MCP isError:true is indiscriminately converted to ModelRetry — non-retryable tool errors should reach the LLM as informational results,https://github.com/pydantic/pydantic-ai/issues/5217,OPEN,2026-04-27,True,True,,,,
5205,Google streaming: cached_content_token_count not populated in Usage.cache_read_tokens,https://github.com/pydantic/pydantic-ai/issues/5205,OPEN,2026-04-25,True,True,,,,
