number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
1389,[Story]: Rework Warning Messages,https://github.com/stacklok/codegate/issues/1389,OPEN,2025-05-01,False,True,,,,
1242,[Story]: CoPilot Bugs Roundup,https://github.com/stacklok/codegate/issues/1242,OPEN,2025-03-06,False,True,,,,
1221,[Story]: Allow for fallback models,https://github.com/stacklok/codegate/issues/1221,OPEN,2025-03-05,False,True,,,,
1122,Copilot fails with o1-preview,https://github.com/stacklok/codegate/issues/1122,OPEN,2025-02-20,True,False,,,,
995,[Task]: Enable the integration tests for openrouter,https://github.com/stacklok/codegate/issues/995,CLOSED,2025-02-10,False,True,,,,
986,[Task]: Reducting values of api key variables,https://github.com/stacklok/codegate/issues/986,OPEN,2025-02-07,False,True,,,,
977,CodeGate doesn't include reasoning for OpenRouter thinking models,https://github.com/stacklok/codegate/issues/977,OPEN,2025-02-07,True,True,,,,
951,CodeGate gets stuck on looping,https://github.com/stacklok/codegate/issues/951,CLOSED,2025-02-06,True,True,,,,
940,[Story]: Display Prompt cache statistics,https://github.com/stacklok/codegate/issues/940,OPEN,2025-02-05,False,True,,,,
929,Refactor redaction mechanism to a single interface,https://github.com/stacklok/codegate/issues/929,CLOSED,2025-02-05,False,True,,,,
920,Secrets redaction message rendering wrong,https://github.com/stacklok/codegate/issues/920,CLOSED,2025-02-04,False,True,,,,
892,CodeGate garbles system configuration for Anthropic requests (such as cache control),https://github.com/stacklok/codegate/issues/892,OPEN,2025-02-03,False,True,,,,
871,[Task]: Have a static JSON file with CodeGate version,https://github.com/stacklok/codegate/issues/871,CLOSED,2025-01-31,False,True,,,,
838,[Task]: Optimise the integration tests to run in parallel and in separate jobs,https://github.com/stacklok/codegate/issues/838,CLOSED,2025-01-30,False,True,,,,
797,Dashboard formatting for Cline and Kodu is wrong,https://github.com/stacklok/codegate/issues/797,CLOSED,2025-01-28,False,True,,,,
604,NotImplemented error due to unsupported event loop method on Windows when starting server,https://github.com/stacklok/codegate/issues/604,CLOSED,2025-01-16,True,False,,,,
586,Error with Aider and Ollama,https://github.com/stacklok/codegate/issues/586,CLOSED,2025-01-14,False,True,,,,
566,Muxing Support for Model Routing,https://github.com/stacklok/codegate/issues/566,CLOSED,2025-01-13,False,True,,,,
550,User declared redactions,https://github.com/stacklok/codegate/issues/550,OPEN,2025-01-11,False,True,,,,
526,Run integration tests for PRs,https://github.com/stacklok/codegate/issues/526,CLOSED,2025-01-09,False,True,,,,
418,Display Token usage,https://github.com/stacklok/codegate/issues/418,CLOSED,2024-12-19,True,True,,,,
394,PII Protections,https://github.com/stacklok/codegate/issues/394,CLOSED,2024-12-17,False,True,,,,
369,copilot fails when analizing a complex .env.docker file,https://github.com/stacklok/codegate/issues/369,CLOSED,2024-12-16,False,True,,,,
363,Continue Initial documentation assumes Ollama as default,https://github.com/stacklok/codegate/issues/363,CLOSED,2024-12-16,False,True,,,,
261,Error parsing Ollama response,https://github.com/stacklok/codegate/issues/261,CLOSED,2024-12-10,False,True,,,,
209,Assess fidelity of secret pattern matching,https://github.com/stacklok/codegate/issues/209,CLOSED,2024-12-05,False,True,,,,
205,Verify is secret token matching is defectual,https://github.com/stacklok/codegate/issues/205,CLOSED,2024-12-05,True,False,,,,
87,Implement pipelines for FIM,https://github.com/stacklok/codegate/issues/87,CLOSED,2024-11-25,False,True,,,,
70,Ollama support,https://github.com/stacklok/codegate/issues/70,CLOSED,2024-11-22,False,True,,,,
68,Local Configuration  / Plumbing Inference (pass in model names),https://github.com/stacklok/codegate/issues/68,CLOSED,2024-11-22,False,True,,,,
25,Links in responses pointing to trustypkg.dev are broken,https://github.com/stacklok/codegate/issues/25,CLOSED,2024-11-18,False,True,,,,
7,Implement an Inference system for local models,https://github.com/stacklok/codegate/issues/7,CLOSED,2024-11-14,False,True,,,,
4,Implement secrets system,https://github.com/stacklok/codegate/issues/4,CLOSED,2024-11-14,False,True,,,,
